Location,Crop,Variety,Phenological Stage,Risk Number,Stacked,Stacked Logic,Risk Category,Risk Icon,Risk Type (Internal use for parser development only),Variable,Aggregation,Comparator,Threshold,Variable Unit,Minimum Temporal Recurrence,Rolling Window,Consecutive,Yield Impact Type,Yield Impact (Minimum Recurrence Met/No Recurrence),Yield Impact After Minimum Recurrence (Only valid for case 2),Yield Impact Function Unit,Max Yield Impact,Start Month,Start Day,End Month,End Day,Risk Explanation,Subtitle (column editable),user
[(Philippines)],Pineapple,Default,Forcing to 63 DAF,1,False,{},Low Precipitation,risk_drought,Case 4: Rolling Window,precipitation,total of variable,<,225,mm,{},63,{},discrete,-10%,{},{},-10%,1.0,1.0,12.0,31.0,"Precipitation below 225mm during a window of time of 63 days, Jan 1 to Dec 31.",,Mq8WnqJAh0OJv88QjN9USt8oL9y2
[(Philippines)],Pineapple,Default,Forcing to Harvest,2,False,{},Low Precipitation,risk_drought,Case 4: Rolling Window,precipitation,total of variable,<,600,mm,{},168,{},discrete,-10%,{},{},-10%,1.0,1.0,12.0,31.0,"Precipitation below 600mm, during a window of time of 168 days, Jan 1 to Dec 31.",,Mq8WnqJAh0OJv88QjN9USt8oL9y2
[(Philippines)],Pineapple,Default,Fruit Development,3,False,{},High Precipitation,risk_flood,Case 4: Rolling Window,precipitation,total of variable,>=,500,mm,{},56,{},discrete,-15%,{},{},-15%,1.0,1.0,12.0,31.0,"Precipitation above 500mm, during a window of time of 56 days, Jan 1 to Dec 31.",,Mq8WnqJAh0OJv88QjN9USt8oL9y2
[(Philippines)],Pineapple,Default,Fruit Development,4,False,{},Low Precipitation,risk_drought,Case 4: Rolling Window,precipitation,total of variable,<,20,mm,{},7,{},discrete,-1%,{},{},-1%,1.0,1.0,12.0,31.0,"Precipitation below 20mm, during a window of time of 7 days, Jan 1 to Dec 31.",,Mq8WnqJAh0OJv88QjN9USt8oL9y2
[(Philippines)],Pineapple,Default,NDF,5,False,{},Cold Stress,risk_cold,Case 4: Rolling Window,min temperature,total # of days,<=,18,°C,3,7,{},discrete,-15%,{},{},-15%,12.0,1.0,3.0,31.0,"Min temperature below or equal to 18°C per day, for 3 days, during a window of time of 7 days, Dec 1 to Mar 31.",,Mq8WnqJAh0OJv88QjN9USt8oL9y2
[(Philippines)],Pineapple,Default,Flowering to Fruit Development,6,False,{},Extreme Heat,risk_heat_stress,Case 4: Rolling Window,max temperature,average of variable,>,34,°C,{},7,{},discrete,-6%,{},{},-6%,1.0,1.0,12.0,31.0,"Mean max temperature above 34°C, during a window of time of 7 days, Jan 1 to Dec 31.",,Mq8WnqJAh0OJv88QjN9USt8oL9y2
ALl,Placeholder,Placeholder,Season,1,False,{},Extreme Heat,risk_heat_stress,Case 2: Days With Risk,max temperature,total # of days,>,100,°C,100,{},True,discrete,0%,{},,{},1.0,1.0,6.0,1.0,Placeholder risk. Temperature above 100 C,,qwAwhu6a6LhAO5rdv2WdieRmycY2
[(Romania)],Barley,Winter,Sowing,1,False,{},Cold Stress,risk_cold,Case 2: Days With Risk,min temperature,total # of days,<,5,°C,1,{},TRUE,continuous,-5%,-5,days,-100%,9.0,15.0,10.0,15.0,"1 day of min temperature below 5°C, Sep 15 to Oct 15.",,Y0HJU22lhoUqQ0HGgfrOOJVMs563
[(Romania)],Barley,Winter,Sowing,2,False,{},Cold Stress,risk_cold,Case 2: Days With Risk,min temperature,total # of days,<=,0,°C,2,{},TRUE,discrete,-25%,{},{},-25%,9.0,15.0,10.0,15.0,"2 consecutive days of min temperature below or equal to 0°C, Sep 15 to Oct 15.",,Y0HJU22lhoUqQ0HGgfrOOJVMs563
[(Romania)],Barley,Winter,Emergence-Tillering,3,False,{},Extreme Heat,risk_heat_stress,Case 2: Days With Risk,max temperature,total # of days,>=,30,°C,1,{},FALSE,continuous,-2%,-2,days,-100%,10.0,15.0,11.0,15.0,"1 day of max temperature above or equal to 30°C, Oct 15 to Nov 15.",,Y0HJU22lhoUqQ0HGgfrOOJVMs563
